,State,id,state_code,Year,Population
275,Maryland,21,MD,2015,5985562
276,Massachusetts,22,MA,2015,6794228
277,Michigan,23,MI,2015,9931715
278,Minnesota,24,MN,2015,5482032
279,Mississippi,25,MS,2015,2988471
280,Missouri,26,MO,2015,6071732
281,Montana,27,MT,2015,1030475
282,Nebraska,28,NE,2015,1891277
283,Nevada,29,NV,2015,2866939
284,New Hampshire,30,NH,2015,1336350
285,New Jersey,31,NJ,2015,8867949
286,New Mexico,32,NM,2015,2089291
287,New York,33,NY,2015,19654666
288,North Carolina,34,NC,2015,10031646
289,North Dakota,35,ND,2015,754066
290,Ohio,36,OH,2015,11617527
291,Oklahoma,37,OK,2015,3909500
292,Oregon,38,OR,2015,4015792
293,Pennsylvania,39,PA,2015,12784826
294,Rhode Island,40,RI,2015,1056065
295,South Carolina,41,SC,2015,4891938
296,South Dakota,42,SD,2015,853988
297,Tennessee,43,TN,2015,6591170
298,Texas,44,TX,2015,27470056
299,Utah,45,UT,2015,2981835
300,Vermont,46,VT,2015,625216
301,Virginia,47,VA,2015,8361808
302,Washington,48,WA,2015,7163657
303,West Virginia,49,WV,2015,1842050
304,Wisconsin,50,WI,2015,5760940
305,Wyoming,51,WY,2015,585613
306,Alabama,1,AL,2016,4863525
307,Alaska,2,AK,2016,741456
308,Arizona,3,AZ,2016,6941072
309,Arkansas,4,AR,2016,2989918
310,California,5,CA,2016,39167117
311,Colorado,6,CO,2016,5539215
312,Connecticut,7,CT,2016,3578141
313,Delaware,8,DE,2016,948921
314,District of Columbia,9,DC,2016,685815
315,Florida,10,FL,2016,20613477
316,Georgia,11,GA,2016,10301890
317,Hawaii,12,HI,2016,1427559
318,Idaho,13,ID,2016,1682380
319,Illinois,14,IL,2016,12820527
320,Indiana,15,IN,2016,6634304
321,Iowa,16,IA,2016,3131371
322,Kansas,17,KS,2016,2910844
323,Kentucky,18,KY,2016,4438182
324,Louisiana,19,LA,2016,4678135
325,Maine,20,ME,2016,1331317
326,Maryland,21,MD,2016,6003323
327,Massachusetts,22,MA,2016,6823608
328,Michigan,23,MI,2016,9950571
329,Minnesota,24,MN,2016,5522744
330,Mississippi,25,MS,2016,2987938
331,Missouri,26,MO,2016,6087135
332,Montana,27,MT,2016,1040859
333,Nebraska,28,NE,2016,1905616
334,Nevada,29,NV,2016,2917563
335,New Hampshire,30,NH,2016,1342307
336,New Jersey,31,NJ,2016,8870827
337,New Mexico,32,NM,2016,2091630
338,New York,33,NY,2016,19633428
339,North Carolina,34,NC,2016,10154788
340,North Dakota,35,ND,2016,754434
341,Ohio,36,OH,2016,11634370
342,Oklahoma,37,OK,2016,3926331
343,Oregon,38,OR,2016,4089976
344,Pennsylvania,39,PA,2016,12782275
345,Rhode Island,40,RI,2016,1056770
346,South Carolina,41,SC,2016,4957968
347,South Dakota,42,SD,2016,862996
348,Tennessee,43,TN,2016,6646010
349,Texas,44,TX,2016,27914410
350,Utah,45,UT,2016,3041868
351,Vermont,46,VT,2016,623657
352,Virginia,47,VA,2016,8410106
353,Washington,48,WA,2016,7294771
354,West Virginia,49,WV,2016,1831023
355,Wisconsin,50,WI,2016,5772628
356,Wyoming,51,WY,2016,584215
357,Alabama,1,AL,2017,4874486
358,Alaska,2,AK,2017,739700
359,Arizona,3,AZ,2017,7044008
360,Arkansas,4,AR,2017,3001345
361,California,5,CA,2017,39358497
362,Colorado,6,CO,2017,5611885
363,Connecticut,7,CT,2017,3573297
364,Delaware,8,DE,2017,956823
365,District of Columbia,9,DC,2017,694906
366,Florida,10,FL,2017,20963613
367,Georgia,11,GA,2017,10410330
368,Hawaii,12,HI,2017,1424393
369,Idaho,13,ID,2017,1717715
370,Illinois,14,IL,2017,12778828
371,Indiana,15,IN,2017,6658078
372,Iowa,16,IA,2017,3141550
373,Kansas,17,KS,2017,2908718
374,Kentucky,18,KY,2017,4452268
375,Louisiana,19,LA,2017,4670560
376,Maine,20,ME,2017,1334612
377,Maryland,21,MD,2017,6023868
378,Massachusetts,22,MA,2017,6859789
379,Michigan,23,MI,2017,9973114
380,Minnesota,24,MN,2017,5566230
381,Mississippi,25,MS,2017,2988510
382,Missouri,26,MO,2017,6106670
383,Montana,27,MT,2017,1052482
384,Nebraska,28,NE,2017,1915947
385,Nevada,29,NV,2017,2969905
386,New Hampshire,30,NH,2017,1348787
387,New Jersey,31,NJ,2017,8885525
388,New Mexico,32,NM,2017,2091784
389,New York,33,NY,2017,19589572
390,North Carolina,34,NC,2017,10268233
391,North Dakota,35,ND,2017,754942
392,Ohio,36,OH,2017,11659650
393,Oklahoma,37,OK,2017,3931316
394,Oregon,38,OR,2017,4143625
395,Pennsylvania,39,PA,2017,12787641
396,Rhode Island,40,RI,2017,1055673
397,South Carolina,41,SC,2017,5021268
398,South Dakota,42,SD,2017,872868
399,Tennessee,43,TN,2017,6708799
400,Texas,44,TX,2017,28295273
401,Utah,45,UT,2017,3101042
402,Vermont,46,VT,2017,624344
403,Virginia,47,VA,2017,8463587
404,Washington,48,WA,2017,7423362
405,West Virginia,49,WV,2017,1817004
406,Wisconsin,50,WI,2017,5790186
407,Wyoming,51,WY,2017,578931
408,Alabama,1,AL,2018,4887681
409,Alaska,2,AK,2018,735139
410,Arizona,3,AZ,2018,7158024
411,Arkansas,4,AR,2018,3009733
412,California,5,CA,2018,39461588
413,Colorado,6,CO,2018,5691287
414,Connecticut,7,CT,2018,3571520
415,Delaware,8,DE,2018,965479
416,District of Columbia,9,DC,2018,701547
417,Florida,10,FL,2018,21244317
418,Georgia,11,GA,2018,10511131
419,Hawaii,12,HI,2018,1420593
420,Idaho,13,ID,2018,1750536
421,Illinois,14,IL,2018,12723071
422,Indiana,15,IN,2018,6695497
423,Iowa,16,IA,2018,3148618
424,Kansas,17,KS,2018,2911359
425,Kentucky,18,KY,2018,4461153
426,Louisiana,19,LA,2018,4659690
427,Maine,20,ME,2018,1339057
428,Maryland,21,MD,2018,6035802
429,Massachusetts,22,MA,2018,6882635
430,Michigan,23,MI,2018,9984072
431,Minnesota,24,MN,2018,5606249
432,Mississippi,25,MS,2018,2981020
433,Missouri,26,MO,2018,6121623
434,Montana,27,MT,2018,1060665
435,Nebraska,28,NE,2018,1925614
436,Nevada,29,NV,2018,3027341
437,New Hampshire,30,NH,2018,1353465
438,New Jersey,31,NJ,2018,8886025
439,New Mexico,32,NM,2018,2092741
440,New York,33,NY,2018,19530351
441,North Carolina,34,NC,2018,10381615
442,North Dakota,35,ND,2018,758080
443,Ohio,36,OH,2018,11676341
444,Oklahoma,37,OK,2018,3940235
445,Oregon,38,OR,2018,4181886
446,Pennsylvania,39,PA,2018,12800922
447,Rhode Island,40,RI,2018,1058287
448,South Carolina,41,SC,2018,5084156
449,South Dakota,42,SD,2018,878698
450,Tennessee,43,TN,2018,6771631
451,Texas,44,TX,2018,28628666
452,Utah,45,UT,2018,3153550
453,Vermont,46,VT,2018,624358
454,Virginia,47,VA,2018,8501286
455,Washington,48,WA,2018,7523869
456,West Virginia,49,WV,2018,1804291
457,Wisconsin,50,WI,2018,5807406
458,Wyoming,51,WY,2018,577601
459,Alabama,1,AL,2019,4903185
460,Alaska,2,AK,2019,731545
461,Arizona,3,AZ,2019,7278717
462,Arkansas,4,AR,2019,3017804
463,California,5,CA,2019,39512223
464,Colorado,6,CO,2019,5758736
465,Connecticut,7,CT,2019,3565287
466,Delaware,8,DE,2019,973764
467,District of Columbia,9,DC,2019,705749
468,Florida,10,FL,2019,21477737
469,Georgia,11,GA,2019,10617423
470,Hawaii,12,HI,2019,1415872
471,Idaho,13,ID,2019,1787065
472,Illinois,14,IL,2019,12671821
473,Indiana,15,IN,2019,6732219
474,Iowa,16,IA,2019,3155070
475,Kansas,17,KS,2019,2913314
476,Kentucky,18,KY,2019,4467673
477,Louisiana,19,LA,2019,4648794
478,Maine,20,ME,2019,1344212
479,Maryland,21,MD,2019,6045680
480,Massachusetts,22,MA,2019,6892503
481,Michigan,23,MI,2019,9986857
482,Minnesota,24,MN,2019,5639632
483,Mississippi,25,MS,2019,2976149
484,Missouri,26,MO,2019,6137428
485,Montana,27,MT,2019,1068778
486,Nebraska,28,NE,2019,1934408
487,Nevada,29,NV,2019,3080156
488,New Hampshire,30,NH,2019,1359711
489,New Jersey,31,NJ,2019,8882190
490,New Mexico,32,NM,2019,2096829
491,New York,33,NY,2019,19453561
492,North Carolina,34,NC,2019,10488084
493,North Dakota,35,ND,2019,762062
494,Ohio,36,OH,2019,11689100
495,Oklahoma,37,OK,2019,3956971
496,Oregon,38,OR,2019,4217737
497,Pennsylvania,39,PA,2019,12801989
498,Rhode Island,40,RI,2019,1059361
499,South Carolina,41,SC,2019,5148714
500,South Dakota,42,SD,2019,884659
501,Tennessee,43,TN,2019,6829174
502,Texas,44,TX,2019,28995881
503,Utah,45,UT,2019,3205958
504,Vermont,46,VT,2019,623989
505,Virginia,47,VA,2019,8535519
506,Washington,48,WA,2019,7614893
507,West Virginia,49,WV,2019,1792147
508,Wisconsin,50,WI,2019,5822434
509,Wyoming,51,WY,2019,578759
